group,category_name,category_name_full,reference,name,filename,min_wavelength,max_wavelength,filename_no_ext
organic,propanol,C<sub>3</sub>H<sub>7</sub>OH (Propanol),Moutzouris,Moutzouris et al. 2013: 1-Propanol; n 0.450–1.55 µm,organic/C3H8O - propanol/Moutzouris.yml,0.45,1.551,Moutzouris
organic,butanol,C<sub>4</sub>H<sub>9</sub>OH (Butanol),El-Kashef,El-Kashef 2000: n 0.4–0.8 µm,organic/C4H10O - butanol/El-Kashef.yml,0.4,0.8,El-Kashef
organic,butanol,C<sub>4</sub>H<sub>9</sub>OH (Butanol),Wang-20C,"Wang et al. 2018: n-Butanol, 20 °C; n,k 1.66–19.1 µm",organic/C4H10O - butanol/Wang-20C.yml,1.66,19.06,Wang-20C
organic,butanol,C<sub>4</sub>H<sub>9</sub>OH (Butanol),Wang-60C,"Wang et al. 2018: n-Butanol, 60 °C; n,k 1.66–19.1 µm",organic/C4H10O - butanol/Wang-60C.yml,1.66,19.06,Wang-60C
organic,butanol,C<sub>4</sub>H<sub>9</sub>OH (Butanol),Wang-90C,"Wang et al. 2018: n-Butanol, 90 °C; n,k 1.66–19.1 µm",organic/C4H10O - butanol/Wang-90C.yml,1.66,19.06,Wang-90C
organic,butanol,C<sub>4</sub>H<sub>9</sub>OH (Butanol),Moutzouris-n,Moutzouris et al. 2013: n-Butanol; n 0.450–1.55 µm,organic/C4H10O - butanol/Moutzouris-n.yml,0.45,1.551,Moutzouris-n
organic,butanol,C<sub>4</sub>H<sub>9</sub>OH (Butanol),Moutzouris-iso,Moutzouris et al. 2013: iso-Butanol; n 0.450–1.55 µm,organic/C4H10O - butanol/Moutzouris-iso.yml,0.45,1.551,Moutzouris-iso
organic,pentanol,"C<sub>5</sub>H<sub>11</sub>OH (Pentanol, amyl alcohol)",Moutzouris-normal,Moutzouris et al. 2013: Normal amyl alcohol; n 0.450–1.55 µm,organic/C5H12O - pentanol/Moutzouris-normal.yml,0.45,1.551,Moutzouris-normal
organic,pentanol,"C<sub>5</sub>H<sub>11</sub>OH (Pentanol, amyl alcohol)",Moutzouris-iso,Moutzouris et al. 2013: Isoamyl alcohol; n 0.450–1.55 µm,organic/C5H12O - pentanol/Moutzouris-iso.yml,0.45,1.551,Moutzouris-iso
organic,ethylene_glycol,C<sub>2</sub>H<sub>4</sub>(OH)<sub>2</sub> (Ethylene glycol),Otanicar,Otanicar 2009: k 0.2–1.5 µm,organic/C2H6O2 - ethylene glycol/Otanicar.yml,0.2,1.5,Otanicar
organic,ethylene_glycol,C<sub>2</sub>H<sub>4</sub>(OH)<sub>2</sub> (Ethylene glycol),Sani,"Sani and Dell'Oro 2014: n,k 0.185–55.0 µm",organic/C2H6O2 - ethylene glycol/Sani.yml,0.1852,55.0,Sani
organic,ethylene_glycol,C<sub>2</sub>H<sub>4</sub>(OH)<sub>2</sub> (Ethylene glycol),Sani-formula,"Sani and Dell'Oro 2014: Dispersion formula; n,k 0.185–2.8 µm",organic/C2H6O2 - ethylene glycol/Sani-formula.yml,0.1852,2.799,Sani-formula
organic,ethylene_glycol,C<sub>2</sub>H<sub>4</sub>(OH)<sub>2</sub> (Ethylene glycol),Kozma,Kozma et al. 2005: n 0.230–0.641 µm,organic/C2H6O2 - ethylene glycol/Kozma.yml,0.23,0.6407,Kozma
